FAQ Question,Answer Excerpt (short),OOD Type,OOD Question,Explanation
What is Save As You Go?,Automatic $1 transfer from checking to savings for qualifying debit/Bill Pay transactions.,Strict,Does Save As You Go provide higher savings interest rates than a standard Wells Fargo savings account?,FAQ only defines what Save As You Go is; it does not discuss interest rates.
What is Save As You Go?,Automatic $1 transfer from checking to savings for qualifying debit/Bill Pay transactions.,Near-miss,Will Save As You Go transfers still happen if I make purchases using a digital wallet like Apple Pay?,FAQ says 'one-time debit card purchases' but doesn’t clarify digital wallets.
What is a Save As You Go transfer?,Automatic transfers triggered by posted one-time debit card purchases or Bill Pay transactions.,Strict,Can I request a manual Save As You Go transfer through customer service?,"FAQ defines transfers as automatic only, no mention of manual initiation."
What is a Save As You Go transfer?,Automatic transfers triggered by posted one-time debit card purchases or Bill Pay transactions.,Near-miss,Do Save As You Go transfers work when I use my debit card at an ATM to withdraw cash?,"FAQ mentions debit purchases, not ATM withdrawals."
How do Save As You Go transfers work?,"At end of each day, $1 per qualifying transaction is transferred to savings the next business day.",Strict,Can Save As You Go transfers be reversed if I change my mind?,FAQ only describes the transfer process; nothing about reversals.
How do Save As You Go transfers work?,"At end of each day, $1 per qualifying transaction is transferred to savings the next business day.",Near-miss,"If my purchase is refunded after posting, will Save As You Go reverse the transfer?",FAQ says transfers are tied to posted transactions but doesn’t address refunds.
Can I have more than one checking account transfer funds to my Way2Save Savings account as part of Save As You Go?,"No, only one Wells Fargo checking account can be linked to one Way2Save savings account.",Strict,Can Save As You Go link to a business checking account instead of a personal one?,FAQ only addresses one consumer checking account.
Can I have more than one checking account transfer funds to my Way2Save Savings account as part of Save As You Go?,"No, only one Wells Fargo checking account can be linked to one Way2Save savings account.",Near-miss,Can I link a joint checking account to Save As You Go if the Way2Save account is only in my name?,FAQ says one checking → one savings but doesn’t clarify ownership mismatches.
How do I change the checking account linked to Save As You Go?,You must unenroll and re-enroll with the preferred checking and savings accounts.,Strict,Is there a minimum time I must wait after unenrolling before I can re-enroll in Save As You Go?,"FAQ covers unenrollment and re-enrollment, no waiting period mentioned."
How do I change the checking account linked to Save As You Go?,You must unenroll and re-enroll with the preferred checking and savings accounts.,Near-miss,"If I switch checking accounts, will my old Save As You Go transfer history be moved to the new account?",FAQ does not address whether history is preserved.
What qualifies as a Save As You Go transaction?,Posted one-time debit card purchases and online Bill Pay transactions qualify.,Strict,Do Zelle payments qualify for Save As You Go transfers?,FAQ restricts eligibility to debit card purchases and Bill Pay only.
What qualifies as a Save As You Go transaction?,Posted one-time debit card purchases and online Bill Pay transactions qualify.,Near-miss,Do international debit card purchases count toward Save As You Go transfers?,FAQ does not distinguish between domestic and international purchases.
Are there circumstances where a Save As You Go transfer won’t occur?,"No transfer if account lacks funds, is overdrawn, or overdraft protection is triggered.",Strict,Will Save As You Go skip transfers if I reach my Wells Fargo daily debit purchase limit?,"FAQ lists insufficient funds/overdraft/OD protection, but not spending limits."
Are there circumstances where a Save As You Go transfer won’t occur?,"No transfer if account lacks funds, is overdrawn, or overdraft protection is triggered.",Near-miss,"If I overdraft in the morning but cover the account later that day, will Save As You Go still make transfers?",FAQ doesn’t explain timing within the day.
How do Save As You Go transfers show up on my statement?,Transfers appear on checking and savings statements labeled 'Save As You Go Transfer'.,Strict,Can I download a separate monthly Save As You Go transfer summary?,FAQ only says transfers appear in statements; nothing about separate summaries.
How do Save As You Go transfers show up on my statement?,Transfers appear on checking and savings statements labeled 'Save As You Go Transfer'.,Near-miss,Do Save As You Go transfers appear differently on joint account statements than on single-owner accounts?,FAQ doesn’t distinguish based on account ownership.
What accounts are eligible for Save As You Go?,Most consumer checking accounts can be linked to a Way2Save savings account.,Strict,Are teen checking accounts eligible to use Save As You Go?,"FAQ just says 'most consumer checking accounts,' no detail on age restrictions."
What accounts are eligible for Save As You Go?,Most consumer checking accounts can be linked to a Way2Save savings account.,Near-miss,Can I link both my checking account and a Wells Fargo credit card to Save As You Go?,FAQ doesn’t mention credit cards at all.
Can I change the Save As You Go transfer amount?,"No, the $1 transfer amount per qualifying transaction is fixed and cannot be changed.",Strict,Will Wells Fargo allow customers to set a custom Save As You Go transfer amount in the future?,"FAQ only says $1 is fixed, no mention of future options."
Can I change the Save As You Go transfer amount?,"No, the $1 transfer amount per qualifying transaction is fixed and cannot be changed.",Near-miss,Can Save As You Go transfers still be $1 per transaction if I’m using a special type of student checking account?,"FAQ states it’s always $1, but doesn’t clarify exceptions for student/special accounts."
