Original FAQ Question,Strict OOD Question,Strict OOD Explanation,Near-miss OOD Question,Near-miss OOD Explanation
What’s a passkey?,Can I create more than one passkey on the same phone for separate logins?,"FAQ defines a passkey as 'your' credential, tied to device/cloud manager, but never mentions multiple passkeys per customer/device.","If I change the unlock method on my phone from Face ID to just a PIN, will my passkey still work?","FAQ says passkeys follow how you unlock your device, but doesn’t clarify if switching unlock methods breaks compatibility."
Why should I use a passkey instead of a password?,Will Wells Fargo disable my ability to use passwords if I switch fully to passkeys?,FAQ says passkeys are 'more secure' but does not mention any forced transition away from passwords.,"If I mostly use passwords but set up one passkey, will both methods work side by side?","FAQ says passkeys are more secure than passwords, but doesn’t detail hybrid usage (both methods available simultaneously)."
How do I set up a passkey?,Can I set up a passkey directly from a third-party password manager app like 1Password?,"FAQ only describes setup via Security Center, no mention of third-party setup paths.","If I start setup on my phone but don’t finish it, will the partial passkey cause issues?","FAQ explains where to find setup options, but not incomplete/abandoned attempts."
What are passkeys used for?,Can I use a passkey to authorize wire transfers inside the app?,"FAQ says they’re for login only, but doesn’t clarify limits beyond ATM access.","If I sign in with a passkey on the website, can I stay logged in on the mobile app too?","FAQ states passkeys work on both app and web, but not about session sharing across platforms."
Are passkeys secure?,Will Wells Fargo notify me if my passkey is compromised in my Apple or Google account?,"FAQ talks about security design, but not about compromise alerts.","If my phone is jailbroken or rooted, does that weaken my passkey security?",FAQ explains phishing resistance but doesn’t cover compromised devices.
Should I use passkeys if I share my device?,Can Wells Fargo restrict passkey sign-in to only my Face ID even if another face is registered on my phone?,"FAQ says don’t share devices, but doesn’t describe partial restrictions.","If I share my Google Account with family, will my passkeys sync to their devices too?","FAQ warns against sharing devices/accounts, but doesn’t explicitly say what happens in family/shared cloud setups."
"Does Wells Fargo store my biometrics, PIN, or passcode?","If I reset my phone, does Wells Fargo keep any backup of my passkey?","FAQ states Wells Fargo doesn’t store biometrics, but doesn’t cover reset/recovery scenarios.","If I remove Face ID on my device, will my passkey still work with PIN only?","FAQ says you log in 'same way you unlock your device,' but doesn’t clarify if removing biometrics breaks passkey use."
How are passkeys different from biometrics?,Can I use a passkey on a device that doesn’t support biometrics at all?,FAQ talks about biometrics + cross-device use but not 'PIN-only' environments.,"If I create a passkey on Android, will my saved Face ID work when I switch to iPhone?","FAQ says passkeys are cross-device, but doesn’t explain how biometric methods map between ecosystems."
How are passkeys different from two-factor authentication?,Will Wells Fargo ever require both a passkey and two-factor authentication?,"FAQ contrasts passkeys vs 2FA, but doesn’t mention using both together.","If I usually get SMS codes, will I stop receiving them once I set up a passkey?",FAQ says passkeys are more secure than 2FA but doesn’t address transition away from SMS codes.
How to log on with a passkey?,Can I use my passkey to auto-fill login inside the Wells Fargo desktop app?,"FAQ only covers app/website login, no mention of desktop apps.","If my phone battery dies in the middle of a passkey login, will I need to restart the process?","FAQ says you authenticate via device unlock, but not what happens if login is interrupted."
Can I use my passkey across devices?,Will passkeys still sync if I switch from Android to iPhone but keep the same phone number?,"FAQ describes Apple/Google account syncing, but doesn’t mention number portability.","If my laptop and phone have different Apple IDs, can I still use my passkey between them?","FAQ says it works on 'same Apple ID,' but doesn’t clarify cross-ID limitations."
Do passkeys use QR codes?,Can I save or print the QR code to reuse it later for passkey login?,"FAQ says QR codes may be scanned during login, but doesn’t discuss persistence.","If my phone camera is broken, can I still complete a passkey QR login another way?",FAQ explains scanning but doesn’t provide fallback options.
Can I still use username & password?,Will Wells Fargo eventually phase out passwords entirely?,"FAQ says you can still use them 'any time,' but doesn’t mention long-term plans.","If I disable my passkey, does my password automatically reactivate, or do I need to reset it?","FAQ says you can use either, but doesn’t describe reactivation after disabling passkey."
Does my passkey expire?,Do passkeys expire after too many failed login attempts?,"FAQ says passkeys don’t expire, but not about lockouts.","If I change my Apple ID email, will my passkey stop working?",FAQ covers same-ID sync but not account changes.
If my device is lost or stolen…,Will Wells Fargo automatically block my passkey if my phone is reported lost to Apple or Google?,"FAQ says you should remove the passkey, but not about automatic protections.","If I remotely erase my phone, does that erase my passkey too?","FAQ tells you to remove it manually, but not whether device erase does it automatically."
Device & browser requirements,Will passkeys work on older smart TVs with browsers?,"FAQ lists OS/browser versions, but doesn’t cover non-traditional devices.","If I update Safari but not macOS, will my passkey still function?","FAQ requires both OS + browser versions, but doesn’t specify if one outdated component blocks login."
Are passkeys free?,Will Wells Fargo ever charge for premium passkey security?,"FAQ says 'free,' but doesn’t mention future pricing.","If I use a passkey across multiple devices, is there any limit that could incur charges?","FAQ says 'free to use,' but doesn’t address usage across many devices."
Where do I manage my passkey?,Can I manage my passkey directly from iCloud Keychain settings?,"FAQ only points to Wells Fargo app/website, no mention of external keychain tools.","If I delete my passkey on my computer, does it disappear from my phone too?","FAQ says manage in app/computer settings, but not about sync deletion."
My passkey isn’t working,Will Wells Fargo send me a notification if my passkey fails to authenticate?,"FAQ lists troubleshooting steps, but not alerts.","If I reinstall the Wells Fargo app, do I need to recreate my passkey?",FAQ covers troubleshooting but not app reinstallation.
"Delete password, use only passkey?",Will Wells Fargo ever allow me to delete my username entirely and only use a passkey?,"FAQ says you cannot remove your username/password, but doesn’t mention future plans.","If I forget my password but still have my passkey, can I continue to log in without resetting the password?","FAQ says passwords remain required, but doesn’t clarify what happens if it’s lost."
